stname,Districts,NSA_lakh_ha,DefA_ScaleUp,DefA_Pilot,DefA_Avoid,DefB_ScaleUp,DefB_Pilot,DefB_Avoid
ANDAMAN & NICOBAR,3,0.0,0,0,0,0,0,0
ANDHRA PRADESH,13,23.5,10,3,0,0,0,12
ARUNACHAL PRADESH,25,2.8,2,9,11,20,2,0
ASSAM,33,27.3,0,6,21,26,0,0
BIHAR,38,53.1,20,15,3,16,18,4
CHANDIGARH,1,0.0,1,0,0,0,0,1
CHHATTISGARH,27,36.1,1,3,23,23,1,0
DADRA & NAGAR HAVE,1,0.0,0,0,0,0,0,0
DAMAN & DIU,2,0.0,0,0,0,0,0,0
DELHI,11,0.0,0,0,0,0,0,0
GOA,2,1.3,1,1,0,1,1,0
GUJARAT,33,97.7,26,6,1,5,10,17
HARYANA,22,33.5,21,0,0,0,0,20
HIMACHAL PRADESH,12,5.2,0,7,5,12,0,0
JAMMU & KASHMIR,22,0.0,1,8,11,0,0,0
JHARKHAND,24,6.9,0,11,13,21,0,0
KARNATAKA,30,70.3,14,10,6,10,11,8
KERALA,14,19.7,7,4,3,7,7,0
LADAKH,2,0.1,0,0,1,0,0,0
LAKSHADWEEP,1,0.0,0,0,0,0,0,0
MADHYA PRADESH,52,149.3,29,17,4,13,16,21
MAHARASHTRA,36,134.4,5,13,16,18,12,2
MANIPUR,16,0.0,4,0,5,5,0,4
MEGHALAYA,11,2.5,3,4,4,8,2,0
MIZORAM,11,2.0,0,4,4,8,0,0
NAGALAND,11,3.7,8,3,0,3,8,0
ODISHA,30,44.4,2,8,19,27,2,0
PUDUCHERRY,4,0.1,2,1,1,2,0,1
PUNJAB,22,36.4,21,0,0,0,0,20
RAJASTHAN,33,158.7,16,8,9,12,6,15
SIKKIM,4,0.0,0,0,0,0,0,0
TAMIL NADU,37,46.8,23,6,1,6,5,19
TELANGANA,33,49.1,26,5,0,2,6,18
TRIPURA,8,2.5,7,1,0,1,6,1
UTTAR PRADESH,75,155.0,65,6,1,5,9,57
UTTARAKHAND,13,4.9,3,5,3,7,1,2
WEST BENGAL,23,41.2,15,4,0,2,2,14
